"","PROBEID","SYMBOL"
"150","HTA2-neg-47419203_st",NA
"151","HTA2-neg-47419205_st",NA
"152","HTA2-neg-47419210_st",NA
"153","HTA2-neg-47419221_st",NA
"154","HTA2-neg-47419231_st",NA
"155","HTA2-neg-47419258_st",NA
"156","HTA2-neg-47419265_st",NA
"157","HTA2-neg-47419266_st",NA
"158","HTA2-neg-47419272_st",NA
"159","HTA2-neg-47419277_st",NA
"160","HTA2-neg-47419281_st",NA
"161","HTA2-neg-47419283_st",NA
"162","HTA2-neg-47419392_st",NA
"163","HTA2-neg-47419399_st",NA
"164","HTA2-neg-47419400_st",NA
"165","HTA2-neg-47419401_st",NA
"166","HTA2-neg-47419404_st",NA
"167","HTA2-neg-47419405_st",NA
"168","HTA2-neg-47419407_st",NA
"169","HTA2-neg-47419408_st",NA
"170","HTA2-neg-47419412_st",NA
"171","HTA2-neg-47419414_st",NA
"172","HTA2-neg-47419415_st",NA
"173","HTA2-neg-47419418_st",NA
"174","HTA2-neg-47419419_st",NA
"175","HTA2-neg-47419421_st",NA
"176","HTA2-neg-47419422_st",NA
"177","HTA2-neg-47419483_st",NA
"178","HTA2-neg-47419517_st",NA
"179","HTA2-neg-47419539_st",NA
"180","HTA2-neg-47419557_st",NA
"181","HTA2-neg-47419564_st",NA
"182","HTA2-neg-47419566_st",NA
"183","HTA2-neg-47419569_st",NA
"184","HTA2-neg-47419576_st",NA
"185","HTA2-neg-47419588_st",NA
"186","HTA2-neg-47419597_st",NA
"187","HTA2-neg-47419607_st",NA
"188","HTA2-neg-47419608_st",NA
"189","HTA2-neg-47419615_st",NA
"190","HTA2-neg-47419616_st",NA
"191","HTA2-neg-47419620_st",NA
"192","HTA2-neg-47419640_st",NA
"193","HTA2-neg-47419651_st",NA
"194","HTA2-neg-47419654_st",NA
"195","HTA2-neg-47419658_st",NA
"196","HTA2-neg-47419661_st",NA
"197","HTA2-neg-47419664_st",NA
"198","HTA2-neg-47419666_st",NA
"199","HTA2-neg-47419667_st",NA
"200","HTA2-neg-47419672_st",NA
"201","HTA2-neg-47419686_st",NA
"202","HTA2-neg-47419687_st",NA
"203","HTA2-neg-47419688_st",NA
"204","HTA2-neg-47419693_st",NA
"205","HTA2-neg-47419703_st",NA
"206","HTA2-neg-47419706_st",NA
"207","HTA2-neg-47419712_st",NA
"208","HTA2-neg-47419713_st",NA
"209","HTA2-neg-47419719_st",NA
"210","HTA2-neg-47419721_st",NA
"211","HTA2-neg-47419722_st",NA
"212","HTA2-neg-47419725_st",NA
"213","HTA2-neg-47419729_st",NA
"214","HTA2-neg-47419732_st",NA
"215","HTA2-neg-47419734_st",NA
"216","HTA2-neg-47419738_st",NA
"217","HTA2-neg-47419739_st",NA
"218","HTA2-neg-47419750_st",NA
"219","HTA2-neg-47419757_st",NA
"220","HTA2-neg-47419758_st",NA
"221","HTA2-neg-47419760_st",NA
"222","HTA2-neg-47419772_st",NA
"223","HTA2-neg-47419773_st",NA
"224","HTA2-neg-47419787_st",NA
"225","HTA2-neg-47419790_st",NA
"226","HTA2-neg-47419793_st",NA
"227","HTA2-neg-47419801_st",NA
"228","HTA2-neg-47419807_st",NA
"229","HTA2-neg-47419808_st",NA
"230","HTA2-neg-47419815_st",NA
"231","HTA2-neg-47419816_st",NA
"232","HTA2-neg-47419818_st",NA
"233","HTA2-neg-47419822_st",NA
"234","HTA2-neg-47419825_st",NA
"235","HTA2-neg-47419826_st",NA
"236","HTA2-neg-47419827_st",NA
"237","HTA2-neg-47419829_st",NA
"238","HTA2-neg-47419832_st",NA
"239","HTA2-neg-47419834_st",NA
"240","HTA2-neg-47419835_st",NA
"241","HTA2-neg-47419841_st",NA
"242","HTA2-neg-47419846_st",NA
"243","HTA2-neg-47419854_st",NA
"244","HTA2-neg-47419858_st",NA
"245","HTA2-neg-47419859_st",NA
"246","HTA2-neg-47419860_st",NA
"247","HTA2-neg-47419862_st",NA
"248","HTA2-neg-47419866_st",NA
"249","HTA2-neg-47419868_st",NA
"250","HTA2-neg-47419870_st",NA
"251","HTA2-neg-47419879_st",NA
"252","HTA2-neg-47419880_st",NA
"253","HTA2-neg-47419881_st",NA
