SYMBOL,EH031TC,EH072TC,EH113TC,EH041TT,EH082TT,EH123TT,EH011SC,EH052SC,EH093SC,EH021ST,EH062ST,EH103ST
A1BG,5.44924350114709,5.60021723788782,5.87739541297256,5.51437693083239,5.2383111941383,5.43205856064954,5.54961495533278,4.83117275114843,5.44001853981698,5.01277497874239,5.00316573699833,5.24092594593401
A1BG-AS1,4.51720581732469,4.9848580847707,5.17938790743006,5.04098023871475,4.58356404185128,4.74629068760054,5.10033713444564,4.59804482101861,5.01963897254063,4.77610617068309,4.91268770789212,5.16626611819536
A1CF,3.02808219731947,3.09934505647451,3.61080281695734,2.16191390244989,3.21833072464514,3.21428682920673,4.12426793918461,4.67979660136543,3.75984133691674,5.97265675370844,5.67748083396384,5.24286041545634
A2M,2.89256546217913,3.33739888476346,3.64788442194912,3.56992379035995,2.92143948629171,3.28945126150131,4.68824407208139,4.26413267276718,4.00119283048521,4.59341161022438,3.95439711864961,3.86902263080485
A2M-AS1,4.94919603981189,5.19516585857402,4.85407133988467,5.15164599057214,4.72675369046202,5.28150059804025,4.58495046720153,4.53272919257063,4.98398939796003,4.52187250259899,4.14318158289696,4.8713537666044
A3GALT2,4.53694781624055,4.49776820463469,4.53965779193695,4.81250807676772,4.69253315253771,4.87914577014552,3.98062626595951,4.32904694085716,4.4799237009332,4.16233170963549,4.22423901222739,4.99872666205793
A4GALT,6.55940706238683,6.14904239988256,5.53856770240477,7.5993365187718,6.83337878409841,7.27536296789699,4.90884133799705,4.39936284080569,5.05633751035062,5.12999958970845,4.9798499258411,5.01033880609912
AAAS,9.60104323546613,9.00006581969294,9.22971812446828,9.73088145054112,9.71183965062483,9.82618812844369,10.6286319743513,10.4287519512079,10.5035283988639,10.392048545942,10.5827824514025,10.2986911814172
AACSP1,5.74982518420322,6.27686431182737,6.09508424036456,6.02414922503924,5.91853452650101,5.96962404628499,5.88675806168802,5.561187915898,6.10632346534335,5.63554024402463,5.65793089447939,6.38194785870104
AADAC,3.7135061588052,3.69860855413209,3.46309333275606,4.04595463351922,3.54917270687105,3.73338180271543,3.22419651423673,3.29991165771402,3.53582652215998,3.67743548399023,3.06867244896559,3.38920435923035
AADACL2,3.20113074104318,2.97319921702473,3.29230890637707,2.88887779380346,2.98308105098461,2.81998453741116,3.24540550361607,2.69065282401734,3.10161199259566,3.36543787871138,2.76805072193082,2.96194797210417
AADACL3,4.09031706291533,4.63290572346978,4.05061360390342,3.79556888087808,3.98980510108293,4.18951971136729,4.25793035245904,3.89261536209972,4.16944569631028,4.38380129250759,4.65907220275446,4.56084331527094
AADACP1,6.3851790013509,4.40415581997068,4.96674360506073,7.50707182525081,7.46206991568782,7.10294247239972,4.75696991574672,5.4474591681179,4.8977078337949,4.82030028393879,5.20013524598547,4.45593975095437
AADAT,4.29765477973498,3.3298187227926,3.00805966210212,4.07617495391465,4.29080123736196,4.10493281897485,7.14181401309947,7.45321595513811,6.86376860480685,7.50356633338404,7.50563579188564,6.86038137493624
AAGAB,9.62752118448716,9.30661009310274,9.71030585685468,9.76314468275078,9.81451855833844,9.90011309671177,9.10045664084239,9.1599141742933,9.42076977536704,9.51407817312772,9.52555683012688,9.35352589313904
AAK1,8.44000310715654,9.0746330650734,9.27559655263685,8.45612033169762,8.15655493143497,7.87606875782041,7.61785066751382,7.78172453613146,7.32962571297535,7.56983418671345,7.68305928377823,7.30970709955996
AAMDC,7.50127739999587,6.69913307334971,6.78308663772261,7.85792366795353,7.95079625057253,7.92892506930398,9.06052883030433,9.22060951908896,9.14052605498753,9.85179444200475,9.8851524248078,9.60841480886598
AAMP,7.58090136384964,7.20781822706255,7.34156981151032,7.93815414845568,7.99085140918487,7.93307427892749,7.73660857589261,7.55213039411282,7.93774084799874,8.0377937770534,8.0810936194476,7.69251684241838
AARS1,10.7768846410196,11.2646206437281,11.5540283535103,9.68674901625599,9.91576510641469,9.75390196903168,10.4775804940718,10.6278441565939,9.76993839290659,9.82503668435676,9.87786176258406,9.68710743317642
AARS2,5.99384669587368,5.06425702565997,5.19379542150327,5.99078639938116,6.10077468483666,6.07848464689713,5.86097958249565,5.82530769744211,5.7013155148218,5.98031649756129,5.88186067299951,5.45139388879795
AASDH,5.78321009160189,4.69545919526907,4.79364905301197,5.87209153231408,5.82245272870744,5.89009530541004,5.7787807223367,5.88848774693462,5.17577485050019,6.12652639676158,6.13600000450373,5.49030016231673
AASS,4.17464579652031,4.31877469137795,4.35912272294971,4.14149771398321,3.81898448289311,3.54647016007848,3.88739215527059,4.31577018952872,4.27476260993936,3.87476571133313,3.65177660408426,3.86850538410158
AATF,9.63434938376431,9.51229430460257,9.93814836517028,10.4683795998146,10.3926365628521,10.3945536038596,9.67224050294059,9.94876803459617,9.40057580087898,10.5840572748189,10.3578273256241,10.1646934305716
ABALON,8.75624480217214,8.8809508336909,9.49099141664189,9.29921536408098,9.20903026538751,9.57372082464239,7.86320870478094,8.10212896055412,6.32228926802467,8.28516238843244,8.53715792266175,8.85819972992469
ABCA1,6.26459153327757,5.56427863793882,6.41358795385614,5.5999243705026,5.44860766516609,5.54929993662105,7.77385759602636,7.91530016966328,7.35582396091267,8.06750533951001,7.83941796874556,7.90908357334688
ABCA10,3.93601823932321,3.01653600696848,3.43179550704855,3.37116931160036,3.5534556475608,4.69379089895093,2.95609344568072,2.36010874693307,2.92835563918323,2.75508453316946,2.77596574199011,2.92389321128185
ABCA11P,8.12677172663996,6.76030590799027,7.66822871095715,7.5243060356876,7.69080286453147,8.03741700991143,4.24783594974961,4.03662959450774,4.8251146800833,4.28282497757855,3.89386978145966,4.54745962036604
ABCA17P,3.08787827851038,2.06081375527025,2.67991939665874,2.23960789060717,2.02339425875464,1.5477884547383,5.71109149105514,5.11106983902375,5.3340335865029,6.72752415445298,6.13352290217599,5.70241856197526
ABCA3,4.85667813220143,4.69047133207116,4.69675711817154,4.54848476929316,5.11367864363926,4.6387380690279,5.00336899628666,5.9985280942851,5.59224242651273,5.45284644706245,5.65221495923214,5.22312977595474
